,Predict_Start_Time
0,0.0008900000000000001
1,0.0039700000000000004
2,0.0067
3,0.00685
4,0.00685
5,0.00685
6,0.00685
7,0.00685
8,0.00685
9,0.00685
10,0.00685
11,0.00685
12,0.00685
13,0.00685
14,0.00685
15,0.00685
16,0.00685
17,0.00685
18,0.00685
19,0.00685
20,0.00685
21,0.00685
22,0.00685
23,0.00685
24,0.00685
25,0.00685
26,0.00685
27,0.00685
28,0.00685
29,0.00685
30,0.00685
31,0.00685
32,0.00685
33,0.00685
34,0.00685
35,0.00685
36,0.00685
37,0.00685
38,0.00685
39,0.00685
40,0.00685
41,0.00685
42,0.00685
43,0.00685
44,0.00685
45,0.00685
46,0.00685
47,0.00685
48,0.00685
49,0.00685
50,0.00685
51,0.00685
52,0.00685
53,0.00685
54,0.00685
55,0.00685
56,0.008245
57,0.014135000000000002
58,0.018005
59,0.019495000000000002
60,0.019665000000000002
61,0.021800000000000003
62,0.023080000000000003
63,0.023600000000000003
64,0.023955
65,0.02398
66,0.024015
67,0.030025000000000003
68,0.030165
69,0.031190000000000002
70,0.034795
71,0.036145000000000004
72,0.04057
73,0.04914
